wn_synset,bn:id,pos,lemmata EN,definition,lemmata NL,is it related to music?,note,removed EN,removed NL
,bn:00239428n,,"comédie_mêlée_d'ariettes, comédie_mêlée_de_ariettes, comédie_mêlée_d’ariettes, comedie_melee_de_ariettes, comedie_melee_d'ariettes",The French term comédie mêlée d'ariettes was frequently used during the late ancien régime for certain types of opéra comique.,comedie_mêlee_d'ariettes,YES,,,
,bn:00397237n,,"comédie_en_vaudevilles, comedie_en_vaudeville, comédie_en_vaudeville, opéras_comiques_en_vaudevilles, vaudeville_final, comédies_en_vaudevilles, opéra-comique_en_vaudevilles, comédies-vaudevilles, comédies-en-vaudevilles","The comédie en vaudevilles was a theatrical entertainment which began in Paris towards the end of the 17th century, in which comedy was enlivened through lyrics using the melody of popular vaudeville songs.",comedie_en_vaudeville,YES,,,
,bn:03720002n,,"coloratura, dramatic_coloratura, colloratura, koloratur, florid_music, colorature, colotura, colouratura","Coloratura is an elaborate melody with runs, trills, wide leaps, or similar virtuoso-like material, or a passage of such music.",coloratuur,YES,,,
,bn:03720002n,,"coloratura, dramatic_coloratura, colloratura, koloratur, florid_music, colorature, colotura, colouratura","Coloratura is an elaborate melody with runs, trills, wide leaps, or similar virtuoso-like material, or a passage of such music.",bloemrijke_muziek,YES,,,
,bn:03116771n,,color_guard,Color guards or flag corps are teams of performers who perform choreographed dances and routines with various equipment to enhance and interpret the music of the marching band show.,color_guard,YES,,,
,bn:00384089n,,"collegiate_a_cappella, collegiate_a_capela, collegiate_a-cappella, college_a_cappella, arch_sing, collegiate_acappella, collegiate_a_cappella_ensembles","Collegiate a cappella ensembles are college-affiliated singing groups, primarily in the United States and, increasingly, the United Kingdom and Ireland, that perform entirely without musical instruments.",collegiale_a_capella,YES,,,
,bn:02359569n,,"college_rock, college_alternative",College rock was the alternative rock music played on student-run university and college campus radio stations located in the United States and Canada in the 1980s.,college_rock,YES,,,
,bn:02359569n,,"college_rock, college_alternative",College rock was the alternative rock music played on student-run university and college campus radio stations located in the United States and Canada in the 1980s.,collegerock,YES,,,
,bn:03322446n,,"coldwave, cold_wave, la_vague_froide, cold_wave_music, french_coldwave","Cold wave is a loose music genre that emerged in Europe the late 1970s, characterized by its detached lyrical tone, use of early electronic music instruments and a minimalist approach and style.",cold_wave,YES,,,
,bn:03322446n,,"coldwave, cold_wave, la_vague_froide, cold_wave_music, french_coldwave","Cold wave is a loose music genre that emerged in Europe the late 1970s, characterized by its detached lyrical tone, use of early electronic music instruments and a minimalist approach and style.",coldwave,YES,,,
,bn:02514907n,,"coladeira, cola-zouk, cabo_love, coladera",The coladeira is a music genre from Cape Verde.,coladeira,YES,,,
,bn:01850559n,,"cognitive_neuroscience_of_music, amplitude_scaling_invariance, neuroscience_of_music, perception_and_production_of_music, music_and_the_brain, music_and_neuroscience",The neuroscience of music is the scientific study of brain-based mechanisms involved in the cognitive processes underlying music.,cognitieve_neurowetenschappen_van_de_muziek,YES,,,
,bn:01859736n,,cognitive_musicology,Cognitive musicology is a branch of cognitive science concerned with computationally modeling musical knowledge with the goal of understanding both music and cognition.,cognitieve_musicologie,YES,,,
,bn:00020269n,,"cock-a-doodle-doo, cocka-doodle-doo, cockadoodledoo",An imitation of the crow of a cock,kukeleku,YES,,,
,bn:03833256n,,"cock_rock, cock-rock, cockrock",Cock rock is a genre of rock music that emphasizes a form of male sexuality.,cockrock,YES,,,
,bn:03833256n,,"cock_rock, cock-rock, cockrock",Cock rock is a genre of rock music that emphasizes a form of male sexuality.,cock_rock,YES,,,
,bn:00020057n,,"cluck, clucking",The sound made by a hen (as in calling her chicks),gekakel,YES,,,kakelende
,bn:00020057n,,"cluck, clucking",The sound made by a hen (as in calling her chicks),klakken,YES,,,kakelende
,bn:00020057n,,"cluck, clucking",The sound made by a hen (as in calling her chicks),klokken,YES,,,kakelende
,bn:00020057n,,"cluck, clucking",The sound made by a hen (as in calling her chicks),kakelende,YES,,,kakelende
,bn:02434520n,,"clubbing, club_subculture, club_culture",Clubbing is the activity of visiting and gathering socially at nightclubs and festivals.,clubbing,YES,,,
,bn:02248231n,,"close_and_open_harmony, close_harmony, close-harmony, close_chord, close_position, barbershop_harmony, open-harmony, close_harmony_duet, open_and_closed_harmony, block_harmony, open_harmony, close_harmony_singing","A chord is in close harmony if its notes are arranged within a narrow range, usually with no more than an octave between the top and bottom notes.",close_harmony,YES,,,
,bn:02248231n,,"close_and_open_harmony, close_harmony, close-harmony, close_chord, close_position, barbershop_harmony, open-harmony, close_harmony_duet, open_and_closed_harmony, block_harmony, open_harmony, close_harmony_singing","A chord is in close harmony if its notes are arranged within a narrow range, usually with no more than an octave between the top and bottom notes.",close-harmony,YES,,,
,bn:00019853n,,"clopping, clop, clunking, clip-clop, clumping, clippety-clop",The sound of a horse's hoofs hitting on a hard surface,clip-klop,YES,,,
,bn:00019853n,,"clopping, clop, clunking, clip-clop, clumping, clippety-clop",The sound of a horse's hoofs hitting on a hard surface,hoefgetrappel,YES,,,
,bn:00019853n,,"clopping, clop, clunking, clip-clop, clumping, clippety-clop",The sound of a horse's hoofs hitting on a hard surface,clopping,YES,,,
,bn:00019853n,,"clopping, clop, clunking, clip-clop, clumping, clippety-clop",The sound of a horse's hoofs hitting on a hard surface,clunking,YES,,,
,bn:00019853n,,"clopping, clop, clunking, clip-clop, clumping, clippety-clop",The sound of a horse's hoofs hitting on a hard surface,clippety-klop,YES,,,
,bn:00019853n,,"clopping, clop, clunking, clip-clop, clumping, clippety-clop",The sound of a horse's hoofs hitting on a hard surface,klonteren,YES,,,
,bn:00019905n,,clog_dancer,Someone who does clog dancing,verstopping,YES,,,verstopping
,bn:00019905n,,clog_dancer,Someone who does clog dancing,verstoppen_danser,YES,,,verstopping
,bn:00019904n,,"clog_dance, clog, clog_dancing",A dance performed while wearing shoes with wooden soles; has heavy stamping steps,klomp,YES,,,
,bn:00019904n,,"clog_dance, clog, clog_dancing",A dance performed while wearing shoes with wooden soles; has heavy stamping steps,verstopping,YES,,,
,bn:00019904n,,"clog_dance, clog, clog_dancing",A dance performed while wearing shoes with wooden soles; has heavy stamping steps,verstoppen_dansen,YES,,,
,bn:00019904n,,"clog_dance, clog, clog_dancing",A dance performed while wearing shoes with wooden soles; has heavy stamping steps,verstoppen_dans,YES,,,
,bn:00019904n,,"clog_dance, clog, clog_dancing",A dance performed while wearing shoes with wooden soles; has heavy stamping steps,klompendansen,YES,,,
,bn:00019761n,,"clickety-clack, clickety-click",A fast and rhythmic click-clack,clic-click,YES,,,
,bn:00019761n,,"clickety-clack, clickety-click",A fast and rhythmic click-clack,clic-clac,YES,,,
,bn:00019759n,,click-clack,A succession of clicks,klik-klak,YES,,,
,bn:00674294n,,"click_track, click-track, clicktrack","A click track is a series of audio cues used to synchronize sound recordings, sometimes for synchronization to a moving image.",click_track,YES,,,
,bn:00674294n,,"click_track, click-track, clicktrack","A click track is a series of audio cues used to synchronize sound recordings, sometimes for synchronization to a moving image.",click-track,YES,,,
,bn:01308191n,,"clawhammer, claw-hammered, clawhammers, clawhammer_banjo, frailer, claw_hammering, clawhammer_technique, clawhammering, claw-hammering, frailers, claw_hammered, frailing, claw-hammer, claw-hammers, frailed, clawhammered","Clawhammer, sometimes called frailing, is a distinctive banjo playing style and a common component of American old-time music.",clawhammer,YES,,,
,bn:01308191n,,"clawhammer, claw-hammered, clawhammers, clawhammer_banjo, frailer, claw_hammering, clawhammer_technique, clawhammering, claw-hammering, frailers, claw_hammered, frailing, claw-hammer, claw-hammers, frailed, clawhammered","Clawhammer, sometimes called frailing, is a distinctive banjo playing style and a common component of American old-time music.",frailing,YES,,,
,bn:01308191n,,"clawhammer, claw-hammered, clawhammers, clawhammer_banjo, frailer, claw_hammering, clawhammer_technique, clawhammering, claw-hammering, frailers, claw_hammered, frailing, claw-hammer, claw-hammers, frailed, clawhammered","Clawhammer, sometimes called frailing, is a distinctive banjo playing style and a common component of American old-time music.",clawhammer_banjo,YES,,,
,bn:00438515n,,"clavioline, musitron","The clavioline is an electronic keyboard instrument, a forerunner to the analog synthesizer.",clavioline,YES,,,
,bn:03790940n,,"clavier_à_lumières, clavier_a_lumieres, tastiera_per_luce, tastiéra_per_luce","The clavier à lumières, or tastiera per luce, as it appears in the score, was a musical instrument invented by Alexander Scriabin for use in his work Prometheus: Poem of Fire.",clavier_à_lumières,YES,,,
,bn:03182219n,,claves,"Claves are a percussion instrument consisting of a pair of short, wooden sticks about 20-25 centimeters long and about 2.5 centimeters in diameter.",claves,YES,,,
,bn:02110618n,,"clave, clave_rhythm, 6/8_clave, clave_patterns, son_clave, bossa_nova_clave, clave_matrix, rumba_clave, tresillo, brazilian_clave, clave_pattern",The clave is a rhythmic pattern used as a tool for temporal organization in Afro-Cuban music.,clave,YES,,,
,bn:03779585n,,"clausula, clausulae",The clausula was a newly composed section of discant inserted into a pre-existing setting of organum.,clausula,YES,,,
,bn:03321905n,,"classical_period, classical_music_era, classical_music_period, classical_period_music, vienese_classic, classical-period_music, viennese_classicism, wiener_klassik, classical_era_of_music, classical_era_music, classical_music, classical_era_in_music, classical_period_in_music, viennese_classical, classical-era_music, classical_era, classical_period_of_music",The Classical period was an era of classical music between roughly 1730 and 1820.,klassieke_periode,YES,,,
,bn:03321905n,,"classical_period, classical_music_era, classical_music_period, classical_period_music, vienese_classic, classical-period_music, viennese_classicism, wiener_klassik, classical_era_of_music, classical_era_music, classical_music, classical_era_in_music, classical_period_in_music, viennese_classical, classical-era_music, classical_era, classical_period_of_music",The Classical period was an era of classical music between roughly 1730 and 1820.,classicisme,YES,,,
,bn:03321905n,,"classical_period, classical_music_era, classical_music_period, classical_period_music, vienese_classic, classical-period_music, viennese_classicism, wiener_klassik, classical_era_of_music, classical_era_music, classical_music, classical_era_in_music, classical_period_in_music, viennese_classical, classical-era_music, classical_era, classical_period_of_music",The Classical period was an era of classical music between roughly 1730 and 1820.,klassieke_muziek_tijdperk,YES,,,
,bn:00019568n,,"classical_ballet, ballet_lessons, ballo_classico, ballet_lesson, ballet_training",A style of ballet based on precise conventional steps performed with graceful and flowing movements,klassiek_ballet,YES,,,
,bn:00019568n,,"classical_ballet, ballet_lessons, ballo_classico, ballet_lesson, ballet_training",A style of ballet based on precise conventional steps performed with graceful and flowing movements,klassieke_dans,YES,,,
,bn:02884448n,,"classic_female_blues, vaudeville_blues, classic_blues","Classic female blues was an early form of blues music, popular in the 1920s.",klassieke_vrouwelijke_blues,YES,,,
,bn:03598686n,,"clash_cymbals, clash_cymbal",Clash cymbals are cymbals played in matched pairs by holding one cymbal in each hand and striking the two together.,clash_cimbalen,YES,,,
,bn:00019458n,,"clarion, clarino_trumpet",A medieval brass instrument with a clear shrill tone,klaroen,YES,,,
,bn:00019458n,,"clarion, clarino_trumpet",A medieval brass instrument with a clear shrill tone,klaroenblazer,YES,,,
,bn:00019458n,,"clarion, clarino_trumpet",A medieval brass instrument with a clear shrill tone,clarion,YES,,,
,bn:03179207n,,clarinet-violin-piano_trio,"A clarinet-violin-piano trio is a standardized chamber musical ensemble made up of one clarinet, one violin, and one piano participating in relatively equal roles, or the name of a piece written for such a group.",klarinet-viool-piano_trio,YES,,,
,bn:00019456n,,clarinet_section,The section of a band or orchestra that plays clarinets,klarinet_sectie,YES,,,
,bn:01325907n,,clarinet_quintet,"Traditionally a clarinet quintet is a chamber musical ensemble made up of one clarinet, plus the standard string quartet of two violins, one viola, and one cello.",clarinet_quintet,YES,,,
,bn:01325907n,,clarinet_quintet,"Traditionally a clarinet quintet is a chamber musical ensemble made up of one clarinet, plus the standard string quartet of two violins, one viola, and one cello.",klarinet_kwintet,YES,,,
,bn:00019455n,,"clarinet, a_clarinet, clarinets, clarenet, b♭_clarinet, clarinet_in_a, clarinette, klarino, clarionet, clerinet, b_flat_clarinet, e-flat_clarinets",A single-reed instrument with a straight tube,klarinet,YES,,,klarinettist
,bn:00019455n,,"clarinet, a_clarinet, clarinets, clarenet, b♭_clarinet, clarinet_in_a, clarinette, klarino, clarionet, clerinet, b_flat_clarinet, e-flat_clarinets",A single-reed instrument with a straight tube,klarinettist,YES,,,klarinettist
,bn:00019455n,,"clarinet, a_clarinet, clarinets, clarenet, b♭_clarinet, clarinet_in_a, clarinette, klarino, clarionet, clerinet, b_flat_clarinet, e-flat_clarinets",A single-reed instrument with a straight tube,clarinet,YES,,,klarinettist
,bn:00019455n,,"clarinet, a_clarinet, clarinets, clarenet, b♭_clarinet, clarinet_in_a, clarinette, klarino, clarionet, clerinet, b_flat_clarinet, e-flat_clarinets",A single-reed instrument with a straight tube,klarinetten,YES,,,klarinettist
,bn:03273329n,,"circular_breathing, circular_breathe, circulatory_breathing, continuous_breathing, cyclic_breathing",Circular breathing is a technique used by players of some wind instruments to produce a continuous tone without interruption.,circulaire_ademhaling,YES,,,
,bn:02580573n,,"cinquillo, baqueteo","A cinquillo is a typical Cuban/Caribbean rhythmic cell, used in the Cuban contradanza and the danzón.",cinquillo,YES,,,
,bn:00245205n,,cimbasso,"The cimbasso is a brass instrument in the trombone family, with a sound ranging from warm and mellow to bright and menacing.",cimbasso,YES,,,
,bn:03155464n,,"cimbalom, kimbalom, cymbalo, țambal, tsimbalï, cymbalon, ţambal, cymbalom, sandouri, cimbalon, tsimbali, tambal, tsimbl, cymbalum, cimbalomist, santouri","The cimbalom is a type of chordophone composed of a large, trapezoidal box with metal strings stretched across its top.",cimbalom,YES,,,
,bn:03155464n,,"cimbalom, kimbalom, cymbalo, țambal, tsimbalï, cymbalon, ţambal, cymbalom, sandouri, cimbalon, tsimbali, tambal, tsimbl, cymbalum, cimbalomist, santouri","The cimbalom is a type of chordophone composed of a large, trapezoidal box with metal strings stretched across its top.",cymbalom,YES,,,
,bn:03155464n,,"cimbalom, kimbalom, cymbalo, țambal, tsimbalï, cymbalon, ţambal, cymbalom, sandouri, cimbalon, tsimbali, tambal, tsimbl, cymbalum, cimbalomist, santouri","The cimbalom is a type of chordophone composed of a large, trapezoidal box with metal strings stretched across its top.",cymbaal,YES,,,
,bn:03155464n,,"cimbalom, kimbalom, cymbalo, țambal, tsimbalï, cymbalon, ţambal, cymbalom, sandouri, cimbalon, tsimbali, tambal, tsimbl, cymbalum, cimbalomist, santouri","The cimbalom is a type of chordophone composed of a large, trapezoidal box with metal strings stretched across its top.",cymbalum,YES,,,
,bn:03155464n,,"cimbalom, kimbalom, cymbalo, țambal, tsimbalï, cymbalon, ţambal, cymbalom, sandouri, cimbalon, tsimbali, tambal, tsimbl, cymbalum, cimbalomist, santouri","The cimbalom is a type of chordophone composed of a large, trapezoidal box with metal strings stretched across its top.",santouri,YES,,,
,bn:01645166n,,"cigar_box_guitar, cigar_box_banjo, cigar_box_guitars, box_guitar, three-string_guitar",The cigar box guitar is a simple chordophone that uses an empty cigar box as a resonator.,cigar_box_guitar,YES,,,
,bn:01645166n,,"cigar_box_guitar, cigar_box_banjo, cigar_box_guitars, box_guitar, three-string_guitar",The cigar box guitar is a simple chordophone that uses an empty cigar box as a resonator.,sigarenkistje_gitaar,YES,,,
,bn:03418178n,,"church_sonata, sonata_da_chiesa, da_chiesa",Sonata da chiesa is a 17th-century genre of musical composition for one or more melody instruments and is regarded an antecedent of later forms of 18th century instrumental music.,sonata_da_chiesa,YES,,,
,bn:03418178n,,"church_sonata, sonata_da_chiesa, da_chiesa",Sonata da chiesa is a 17th-century genre of musical composition for one or more melody instruments and is regarded an antecedent of later forms of 18th century instrumental music.,sonate_da_chiesa,YES,,,
,bn:00018780n,,"chuckle, chortle",A soft partly suppressed laugh,gegrinnik,YES,,,lachen_'
,bn:00018780n,,"chuckle, chortle",A soft partly suppressed laugh,luidruchtig_grinnikken,YES,,,lachen_'
,bn:00018780n,,"chuckle, chortle",A soft partly suppressed laugh,_verkneukelen,YES,,,lachen_'
,bn:00018780n,,"chuckle, chortle",A soft partly suppressed laugh,gnuiven,YES,,,lachen_'
,bn:00018780n,,"chuckle, chortle",A soft partly suppressed laugh,lachen_',YES,,,lachen_'
,bn:03283081n,,"chromaticism, chromatic_line, chromatic_note, chromatic_triad, chromatic_notes, chromatic_chord, linear_chromaticism",Chromaticism is a compositional technique interspersing the primary diatonic pitches and chords with other pitches of the chromatic scale.,chromatiek,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,kerstmuziek,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,kerstliedjes,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,kerstmisliederen,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,nederlands_kerstlied,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,kerstnummer,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,kerstliedje,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,kerstnummers,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,nederlandse_kerstliedjes,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,kerstliederen,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,kerstalbum,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,vakantie_muziek,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,vakantie_album,YES,,,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,kerstlied,YES,,,
,bn:00016155n,,"christmas_carol, carol, noel, christmas_song, hirtenlieder, kalanda, christmas_hymn, weihnachtslied, christian_carol, kalanta, hirtenlied, weihnachtslieder, christmas_carrol, christmas_carols",Joyful religious song celebrating the birth of Christ,kerstlied,YES,,,
,bn:00016155n,,"christmas_carol, carol, noel, christmas_song, hirtenlieder, kalanda, christmas_hymn, weihnachtslied, christian_carol, kalanta, hirtenlied, weihnachtslieder, christmas_carrol, christmas_carols",Joyful religious song celebrating the birth of Christ,kerstliederen,YES,,,
,bn:00016155n,,"christmas_carol, carol, noel, christmas_song, hirtenlieder, kalanda, christmas_hymn, weihnachtslied, christian_carol, kalanta, hirtenlied, weihnachtslieder, christmas_carrol, christmas_carols",Joyful religious song celebrating the birth of Christ,leis,YES,,,
,bn:00016155n,,"christmas_carol, carol, noel, christmas_song, hirtenlieder, kalanda, christmas_hymn, weihnachtslied, christian_carol, kalanta, hirtenlied, weihnachtslieder, christmas_carrol, christmas_carols",Joyful religious song celebrating the birth of Christ,kerstnummer,YES,,,
,bn:00016155n,,"christmas_carol, carol, noel, christmas_song, hirtenlieder, kalanda, christmas_hymn, weihnachtslied, christian_carol, kalanta, hirtenlied, weihnachtslieder, christmas_carrol, christmas_carols",Joyful religious song celebrating the birth of Christ,kerstliedjes,YES,,,
,bn:00016155n,,"christmas_carol, carol, noel, christmas_song, hirtenlieder, kalanda, christmas_hymn, weihnachtslied, christian_carol, kalanta, hirtenlied, weihnachtslieder, christmas_carrol, christmas_carols",Joyful religious song celebrating the birth of Christ,kerstliedje,YES,,,
,bn:00016155n,,"christmas_carol, carol, noel, christmas_song, hirtenlieder, kalanda, christmas_hymn, weihnachtslied, christian_carol, kalanta, hirtenlied, weihnachtslieder, christmas_carrol, christmas_carols",Joyful religious song celebrating the birth of Christ,kerstnummers,YES,,,
,bn:00016155n,,"christmas_carol, carol, noel, christmas_song, hirtenlieder, kalanda, christmas_hymn, weihnachtslied, christian_carol, kalanta, hirtenlied, weihnachtslieder, christmas_carrol, christmas_carols",Joyful religious song celebrating the birth of Christ,kerstmisliederen,YES,,,
,bn:02763040n,,"christmas_cantata, nativity_cantata, weihnachtskantate","A Christmas cantata or Nativity cantata is a cantata, music for voice or voices in several movements, for Christmas.",kerstcantate,YES,,,
,bn:01500508n,,"christian_ska, ska-style_christian_music","Christian ska is a form of Christian alternative rock, and subgenre of ska and ska punk which is lyrically oriented toward contemporary Christian music.",christelijke_ska,YES,,,
,bn:03782827n,,"christian_rock, christian_rock_music, christian_rock_artists, christian_rock_group, christian-rock, christ_rock, christian_rock_and_roll, christian_rock_band, rock-style_christian_music","Christian rock is a form of rock music that features lyrics focusing on matters of Christian faith, often with an emphasis on Jesus, typically performed by self-proclaimed Christian individuals.",christelijke_rock,YES,,,
,bn:03782827n,,"christian_rock, christian_rock_music, christian_rock_artists, christian_rock_group, christian-rock, christ_rock, christian_rock_and_roll, christian_rock_band, rock-style_christian_music","Christian rock is a form of rock music that features lyrics focusing on matters of Christian faith, often with an emphasis on Jesus, typically performed by self-proclaimed Christian individuals.",christian_rock,YES,,,
,bn:03782827n,,"christian_rock, christian_rock_music, christian_rock_artists, christian_rock_group, christian-rock, christ_rock, christian_rock_and_roll, christian_rock_band, rock-style_christian_music","Christian rock is a form of rock music that features lyrics focusing on matters of Christian faith, often with an emphasis on Jesus, typically performed by self-proclaimed Christian individuals.",christelijke_rockband,YES,,,
,bn:01162254n,,"christian_punk, christian_punk_rock, punk-style_christian_music, christpunk, christian_punk_music, christian_pop_punk, christ_punk, christian_punk_rock_music",Christian punk is a form of Christian music and a subgenre of punk rock with some degree of Christian lyrical content.,christelijke_punk,YES,,,
,bn:01162254n,,"christian_punk, christian_punk_rock, punk-style_christian_music, christpunk, christian_punk_music, christian_pop_punk, christ_punk, christian_punk_rock_music",Christian punk is a form of Christian music and a subgenre of punk rock with some degree of Christian lyrical content.,relipunk,YES,,,
,bn:01162254n,,"christian_punk, christian_punk_rock, punk-style_christian_music, christpunk, christian_punk_music, christian_pop_punk, christ_punk, christian_punk_rock_music",Christian punk is a form of Christian music and a subgenre of punk rock with some degree of Christian lyrical content.,christenpunk,YES,,,
,bn:01162254n,,"christian_punk, christian_punk_rock, punk-style_christian_music, christpunk, christian_punk_music, christian_pop_punk, christ_punk, christian_punk_rock_music",Christian punk is a form of Christian music and a subgenre of punk rock with some degree of Christian lyrical content.,christian_punk,YES,,,
,bn:00837340n,,"christian_music_industry, gospel_music_industry, contemporary_christian_music_industry","The Christian music industry is a small part of the larger music industry, that focuses on traditional Gospel music, Southern gospel, contemporary Christian music, and alternative Christian music.",christelijke_muziekindustrie,YES,,,
,bn:03333146n,,"christian_music, music_in_church, liturgical_chant, ecclesiastical_music, protestant_music, christian_musician, churchmusic, christian, christian_sacred_music, music,_ecclesiastical, church-music",Christian music is music that has been written to express either personal or a communal belief regarding Christian life and faith.,christelijke_muziek,YES,,,
,bn:03333146n,,"christian_music, music_in_church, liturgical_chant, ecclesiastical_music, protestant_music, christian_musician, churchmusic, christian, christian_sacred_music, music,_ecclesiastical, church-music",Christian music is music that has been written to express either personal or a communal belief regarding Christian life and faith.,relipop,YES,,,
,bn:03333146n,,"christian_music, music_in_church, liturgical_chant, ecclesiastical_music, protestant_music, christian_musician, churchmusic, christian, christian_sacred_music, music,_ecclesiastical, church-music",Christian music is music that has been written to express either personal or a communal belief regarding Christian life and faith.,hedendaagse_christelijke_muziek,YES,,,
,bn:03333146n,,"christian_music, music_in_church, liturgical_chant, ecclesiastical_music, protestant_music, christian_musician, churchmusic, christian, christian_sacred_music, music,_ecclesiastical, church-music",Christian music is music that has been written to express either personal or a communal belief regarding Christian life and faith.,christelijke_rock,YES,,,
,bn:03333146n,,"christian_music, music_in_church, liturgical_chant, ecclesiastical_music, protestant_music, christian_musician, churchmusic, christian, christian_sacred_music, music,_ecclesiastical, church-music",Christian music is music that has been written to express either personal or a communal belief regarding Christian life and faith.,christelijke_muzikant,YES,,,
,bn:01398616n,,"christian_metal, underground_era_of_christian_metal, white_metal, christian_heavy_metal, christian_metalcore, christian_deathcore, christian_metal_music, white_metal_music, christ_metal, christan_metal, christian_death_metal, heavenly_metal, christian_heavy_metal_music, jesus_metal, christian_thrash_metal","Christian metal, also known as white metal, Jesus metal or heavenly metal, is a form of heavy metal music usually defined by its message using song lyrics as well as the dedication of the band members to Christianity.",white_metal,YES,,,
,bn:01398616n,,"christian_metal, underground_era_of_christian_metal, white_metal, christian_heavy_metal, christian_metalcore, christian_deathcore, christian_metal_music, white_metal_music, christ_metal, christan_metal, christian_death_metal, heavenly_metal, christian_heavy_metal_music, jesus_metal, christian_thrash_metal","Christian metal, also known as white metal, Jesus metal or heavenly metal, is a form of heavy metal music usually defined by its message using song lyrics as well as the dedication of the band members to Christianity.",christian_metal,YES,,,
